SUBID,NEIGHBOURS
8211254.0,"[8000018.0, 8211662.0, 8000017.0, 8000015.0, 8000016.0]"
8000016.0,"[8000018.0, 8208362.0, 8000017.0, 8211254.0, 8000012.0, 8210319.0]"
8000012.0,"[8208362.0, 8000016.0, 8210319.0, 8200484.0]"
8205878.0,"[8205501.0, 8205853.0, 8200462.0, 8205462.0]"
8801542.0,[8000656.0]
8210202.0,"[8210778.0, 8210743.0, 8210914.0]"
8200644.0,[8201502.0]
8201502.0,"[8200644.0, 8202621.0, 8202689.0, 8202647.0, 8202553.0, 8202844.0]"
8202621.0,"[8201502.0, 8202689.0, 8200022.0, 8202858.0, 8202770.0]"
8205857.0,"[8206760.0, 8206781.0, 8205300.0, 8205232.0, 8205818.0]"
8801578.0,[8000656.0]
8201885.0,[8202686.0]
8202697.0,"[8202830.0, 8202816.0, 8202935.0, 8203899.0, 8204175.0, 8204300.0]"
8202716.0,"[8202810.0, 8202935.0, 8202659.0, 8202850.0, 8202996.0]"
8202759.0,"[8202830.0, 8202686.0, 8202935.0, 8202787.0, 8202753.0]"
8202810.0,"[8202716.0, 8202659.0, 8202570.0, 8202850.0, 8203001.0, 8202568.0, 8202827.0]"
8202830.0,"[8202697.0, 8202759.0, 8202935.0, 8202753.0, 8203887.0, 8203899.0]"
8202686.0,"[8201885.0, 8202759.0, 8202935.0, 8202659.0, 8202734.0, 8202787.0, 8202546.0, 8204747.0]"
8202816.0,"[8202697.0, 8202935.0, 8202996.0, 8204175.0]"
8202935.0,"[8202697.0, 8202716.0, 8202759.0, 8202830.0, 8202686.0, 8202816.0, 8202659.0, 8202996.0]"
8202659.0,"[8202716.0, 8202810.0, 8202686.0, 8202935.0, 8202570.0, 8204747.0]"
8202570.0,"[8202810.0, 8202659.0, 8202701.0, 8204747.0, 8202568.0]"
8000033.0,"[8302042.0, 8000032.0, 8302012.0, 8000287.0, 8301914.0]"
8101268.0,"[8101274.0, 8100810.0]"
8118610.0,"[8118463.0, 8118228.0, 8117788.0]"
8201327.0,"[8205642.0, 8205614.0]"
8202199.0,[8205501.0]
8202631.0,[8205384.0]
8203881.0,[8205384.0]
8205537.0,"[8205501.0, 8201352.0, 8205614.0, 8205342.0, 8205570.0, 8200579.0, 8205462.0]"
8205642.0,"[8201327.0, 8201352.0, 8205614.0, 8205312.0, 8200736.0, 8201122.0, 8205466.0, 8205522.0]"
8205501.0,"[8205878.0, 8202199.0, 8205537.0, 8205570.0, 8205853.0, 8205462.0]"
8205384.0,"[8202631.0, 8203881.0, 8205342.0, 8205570.0, 8205853.0, 8205419.0, 8205538.0, 8205733.0, 8203789.0, 8205522.0]"
8201352.0,"[8205537.0, 8205642.0, 8205614.0, 8200579.0, 8205312.0, 8205596.0]"
