SUBID,NEIGHBOURS
8208069,"['8200730', '8207770', '8207874', '8208053', '8209251', '8208784', '8209510']"
8208077,"['8208081', '8208261', '8206364', '8206623', '8207180']"
8208081,"['8206688', '8207966', '8208077', '8208529', '8206654', '8206364']"
8208091,"['8207944', '8208528', '8209367', '8209501', '8208568', '8209516', '8207850', '8207854']"
8208129,"['8208314', '8208854', '8208384']"
8208130,"['8207726', '8208610', '8207794', '8212784']"
8208140,"['8200336', '8200342', '8208047', '8207901', '8208410', '8208735']"
8208148,"['8207878', '8207029', '8209223', '8209199', '8208730']"
8208149,"['8208381', '8208430', '8208339', '8208347']"
8208150,"['8206227', '8206277', '8207992', '8208090']"
8208159,"['8208381', '8208541', '8208117', '8208608', '8208175']"
8208173,"['8208336', '8208647', '8208781', '8208847']"
8208184,"['8208349', '8208395', '8208602', '8208796', '8208354']"
8208233,"['8208625', '8208751', '8208556', '8208579', '8213255', '8211817']"
8208241,"['8206901', '8207191', '8208423', '8216600', '8208578']"
8208244,"['8208315', '8209206', '8209515', '8207905', '8208427']"
8208257,"['8206563', '8206715', '8207377', '8208457', '8208534', '8208658', '8208480', '8207138']"
8208261,"['8206059', '8208077', '8206623', '8207200']"
8208277,"['8207743', '8207788', '8208492', '8207796', '8200570', '8208485']"
8208282,"['8208326', '8208717', '8208270', '8208384', '8208748', '8208741']"
8208286,"['8200304', '8204673', '8204689', '8204759', '8204951', '8208606', '8208485', '8207982', '8000667']"
8208288,"['8208625', '8208713', '8212199', '8211817', '8208715']"
8208304,"['8208430', '8208339', '8207339', '8208783']"
8208307,"['8207311', '8209016', '8209031', '8208177', '8208380', '8207200']"
8208312,"['8208316', '8208326', '8208693']"
8208314,"['8208129', '8208565', '8208819', '8211542', '8211939', '8208854']"
8208315,"['8207803', '8208244', '8207834', '8209515', '8207838', '8208427']"
8208316,"['8208312', '8208326', '8208717', '8208796', '8208354', '8208693']"
8208323,"['8208342', '8208381', '8208295', '8208117', '8208347']"
8208326,"['8208282', '8208312', '8208316', '8208717', '8208502', '8208693', '8208458', '8208384']"
8208335,"['8206667', '8208592', '8208658', '8208348', '8208692', '8208067']"
8208336,"['8208173', '8208364', '8208647', '8208717', '8208787', '8208847', '8208292', '8208064', '8000095']"
